Column1,created_at,id,Topics,Sentiment,full_text,source,user,retweet_count,lang
0,2021/11/25 22:55,1.46408E+18,Vaccine efficacy,pos,the covid vaccine works great doesnt it https://t.co/PaZQbUaaGQ,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","{'id': 1350147209245954050, 'id_str': '1350147209245954050', 'name': 'Steve Money', 'screen_name': '_SteveMoney', 'location': 'earth', 'description': 'friendly, strong opinions crypto charting, memes follow me it you like non bullshit tweets \n\nmy RelayX: stevo@relayx.io\n$stevechatter stevo@moneybutton.com', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 587, 'friends_count': 510, 'listed_count': 6, 'created_at': 'Fri Jan 15 18:26:23 +0000 2021', 'favourites_count': 2197, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 4249, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1397712280050089984/RVnbSLi7_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1397712280050089984/RVnbSLi7_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1350147209245954050/1622561986', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",0,en
1,2021/11/25 22:55,1.46408E+18,Covid politics,neg,"“We’re in a very risky state...it all depends on what our politicians will do.”

Ontario is sleepwalking into a 5th wave.

Time to:
1. Expand vaccine 3rd dose eligibility
2. Strengthen mandates
3. Address airborne transmission
4. ⬆️ access to rapid testing
https://t.co/adkTM8pqZC","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","{'id': 936078120, 'id_str': '936078120', 'name': 'Nathan Stall', 'screen_name': 'NathanStall', 'location': 'Toronto, Canada', 'description': ""| Husband | Twin Dad | Doctor | Scientist |\n@OntLiberal candidate for Toronto—St. Paul's"", 'url': 'https://t.co/aWEEq0E8Vu', 'entities': {'url': {'urls': [{'url': 'https://t.co/aWEEq0E8Vu', 'expanded_url': 'http://www.nathanstall.ca', 'display_url': 'nathanstall.ca', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 19333, 'friends_count': 1755, 'listed_count': 271, 'created_at': 'Fri Nov 09 04:18:06 +0000 2012', 'favourites_count': 10132, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 6254, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1431214845765066756/dh-nvqol_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1431214845765066756/dh-nvqol_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/936078120/1630040314', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",0,en
5,2021/11/25 22:55,1.46408E+18,Covid social life,pos,"So...despite a couple of invites, I chose to spend TG alone. Oldest daughter refuses vaccine, AND refused quick test (paid by my x and his wife) to protect gparents. Just wasn't feeling it, but enjoyed my sweet potatoes 😋.","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","{'id': 3310193978, 'id_str': '3310193978', 'name': 'Old Host Body', 'screen_name': 'a2znan2', 'location': 'Northern CA', 'description': '#Resist 🌊🌊#BIDEN/HARRIS\nNan to Adam, Andrew, Zane, and Zach. breast cancer survivor. NO DMs PLEASE.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 2075, 'friends_count': 2462, 'listed_count': 2, 'created_at': 'Sun Aug 09 03:46:18 +0000 2015', 'favourites_count': 195500, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 7400, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1436866609126150145/aA1-Quzf_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1436866609126150145/aA1-Quzf_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/3310193978/1633317376', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",0,en
12,2021/11/25 22:55,1.46408E+18,Covid variant,neu,WHO calls special meeting on new Covid variant with 'large number of mutations' @CNBC https://t.co/PDCtwE1uyv,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","{'id': 22049820, 'id_str': '22049820', 'name': 'Ronnie Cromer', 'screen_name': 'Ronnie_Cromer', 'location': 'Detroit, MI USA', 'description': 'Civil/criminal rights and injury attorney; Know Your Rights;  https://t.co/gQq9PgsmDq', 'url': 'https://t.co/fUogYdW80m', 'entities': {'url': {'urls': [{'url': 'https://t.co/fUogYdW80m', 'expanded_url': 'http://www.thecromerlawgroup.com', 'display_url': 'thecromerlawgroup.com', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/gQq9PgsmDq', 'expanded_url': 'http://thecromerlawgroup.com', 'display_url': 'thecromerlawgroup.com', 'indices': [62, 85]}]}}, 'protected': False, 'followers_count': 535, 'friends_count': 2324, 'listed_count': 7, 'created_at': 'Thu Feb 26 19:32:21 +0000 2009', 'favourites_count': 10583, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 10869, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/378800000570670802/23c6074178607fc7dc71ea17f524a5b6_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/378800000570670802/23c6074178607fc7dc71ea17f524a5b6_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/22049820/1443903571', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",0,en
17,2021/11/25 22:55,1.46408E+18,Covid social life,pos,"Last year, I didn’t get to be with my family during thanksgiving because most of them had COVID-19, so I was alone in Montana.

This year, I got to celebrate with them in person. ❤️

Count your blessings my friends. 🤲🏻 https://t.co/BiaOBu2p44","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","{'id': 1126608709529079808, 'id_str': '1126608709529079808', 'name': 'Mohammad Ahmad', 'screen_name': 'MohammadAhmadTV', 'location': 'Bowling Green, KY', 'description': 'Sports Reporter/Anchor for @wbkosports | Proud Muslim ☪️ | @UKJAMSchool alum 😼| Email story ideas or hate mail to mohammad.ahmad@wbko.com!', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 1065, 'friends_count': 2172, 'listed_count': 5, 'created_at': 'Thu May 09 22:03:42 +0000 2019', 'favourites_count': 16162, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 6388, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1436072974176636933/8caqMYKT_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1436072974176636933/8caqMYKT_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1126608709529079808/1557440630', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",0,en
19,2021/11/25 22:55,1.46408E+18,Covid politics,neg,"Joe Biden has done no better than Donald Trump in defeating Covid despite the benefit of vaccines, better therapies, and more clinical experience. https://t.co/bxTyyF8Oq9","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","{'id': 21714408, 'id_str': '21714408', 'name': 'Patrick Tomaszewski', 'screen_name': 'PatrickTomaszew', 'location': 'Toronto, Ontario', 'description': 'REALTOR®\xa0AEA® Accredited Elite Agent ASA® Accredited Senior Agent, SRS® RENE®, RESA CSA® at Right At Home Reality Inc., Brokerage', 'url': 'https://t.co/UtPyMkIQyx', 'entities': {'url': {'urls': [{'url': 'https://t.co/UtPyMkIQyx', 'expanded_url': 'http://www.rightathomerealty.com', 'display_url': 'rightathomerealty.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 737, 'friends_count': 2576, 'listed_count': 13, 'created_at': 'Tue Feb 24 00:57:54 +0000 2009', 'favourites_count': 8364, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 33103, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/711419828259651584/A959pHa-_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/711419828259651584/A959pHa-_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/21714408/1547682903', 'profile_link_color': '1B95E0', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",0,en
20,2021/11/25 22:55,1.46408E+18,Measure and management ,pos,"I was nervous about finding a Covid test in #ElSalvador &amp; it couldn’t have been easier! I sent a WhatsApp message to a lab, they sent someone to my hostel &amp; within 5 minutes I had a negative test result &amp; certificate! 🎉 https://t.co/N2WpOHJ9HN","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","{'id': 544794000, 'id_str': '544794000', 'name': 'Brianne Miers', 'screen_name': 'brimiers', 'location': 'Boston, MA', 'description': 'nonprofit storyteller | adventure travel writer & blogger | street art, social justice & sustainability | 🐶 | @NewhouseSU | Binders', 'url': 'https://t.co/ultu1jofSo', 'entities': {'url': {'urls': [{'url': 'https://t.co/ultu1jofSo', 'expanded_url': 'http://www.atravelinglife.com', 'display_url': 'atravelinglife.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 9655, 'friends_count': 5622, 'listed_count': 370, 'created_at': 'Wed Apr 04 00:37:31 +0000 2012', 'favourites_count': 35059, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 9217, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1390849646323437568/sk5V2bGn_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1390849646323437568/sk5V2bGn_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/544794000/1498252143', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",0,en
21,2021/11/25 22:55,1.46408E+18,Covid politics,neg,"For those unaware, 660,882 US citizens died of heart disease in 2020 - twice the total of covid.

Mandates and lockdowns can't be justified simply by the number of fatalities, else there's a whole lot of other behaviors we should be mandating.  Let's not open that door. https://t.co/yV7wOyxDbU","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","{'id': 1433941639148412930, 'id_str': '1433941639148412930', 'name': 'SoCal Independent', 'screen_name': 'SoCalMiddle', 'location': 'Los Angeles, CA', 'description': 'Future Texan, Currently in LA.  Pro-Choice, Anti-Mandate. Bodily autonomy across the board.  We can disagree and still interact, I promise.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 993, 'friends_count': 340, 'listed_count': 2, 'created_at': 'Fri Sep 03 23:55:12 +0000 2021', 'favourites_count': 3806, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 1723, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1433942164988334082/vsEZX3uI_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1433942164988334082/vsEZX3uI_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",0,en
23,2021/11/25 22:55,1.46408E+18,Covid variant,neg,"Ugh, Canada fighter news and new Covid variant....it may not be a good day tomorrow for $ba...it may break the triangle in a BAD way.....lets hope not 😯","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","{'id': 626065660, 'id_str': '626065660', 'name': 'John Beach', 'screen_name': 'JohnBeachBum', 'location': 'USA', 'description': 'Aviator, stock trader, motorcycle rider, sushi lover, technology geek and KGW/KPTV news junkie. Go Mariners and Seahawks!', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 31, 'friends_count': 63, 'listed_count': 2, 'created_at': 'Wed Jul 04 01:49:35 +0000 2012', 'favourites_count': 427, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 1089, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/557051951427620865/OQRJkU8l_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/557051951427620865/OQRJkU8l_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/626065660/1364887940', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",0,en
24,2021/11/25 22:55,1.46408E+18,Covid social life,neg,"Family Zoom call with the in laws, who asked if my son got his COVID vaccine yet. I had to remind them he's 4.

So yeah...","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","{'id': 267635200, 'id_str': '267635200', 'name': 'Heather Christena Schmidt', 'screen_name': 'heatherwritesss', 'location': 'Southern California', 'description': 'Best selling author, blog writer, and purveyor of general chaos (ala motherhood and local politics). Newest projects can be found 👇🏻', 'url': 'https://t.co/4rzLTPPS5l', 'entities': {'url': {'urls': [{'url': 'https://t.co/4rzLTPPS5l', 'expanded_url': 'http://www.heatherchristenaschmidt.com', 'display_url': 'heatherchristenaschmidt.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 3813, 'friends_count': 1171, 'listed_count': 70, 'created_at': 'Thu Mar 17 08:24:04 +0000 2011', 'favourites_count': 13673, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 25036, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '131516', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/981786632603910144/eazuzPbw_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/981786632603910144/eazuzPbw_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/267635200/1631513323', 'profile_link_color': '000000', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'EFEFEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",0,en
